All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
J13,GPIO45,,GPIO45,SPID_PTE,EMIF1_A5,MCANB_TX,GPIO45,,SD3_D4,UARTB_RX,GPIO45,,CLB_OUTPUTXBAR7,,GPIO45,,ESC_TX1_ENA,
R16,GPIO48,,GPIO48,OUTPUTXBAR3,EMIF1_A8,,GPIO48,,SCIA_TX,SD1_D1,GPIO48,,,,GPIO48,SD2_C2,ESC_PHY_CLK,
P15,GPIO49,,GPIO49,OUTPUTXBAR4,EMIF1_A9,,GPIO49,,SCIA_RX,SD1_C1,GPIO49,EMIF1_A5,,,GPIO49,SD2_D1,FSITXA_D0,
P14,GPIO50,,GPIO50,EQEP1_A,EMIF1_A10,EPWM15_A,GPIO50,,SPIC_PICO,SD1_D2,GPIO50,EMIF1_A6,,ESC_LATCH0,GPIO50,SD2_D2,FSITXA_D1,
N14,GPIO51,,GPIO51,EQEP1_B,EMIF1_A11,EPWM15_B,GPIO51,,SPIC_POCI,SD1_C2,GPIO51,EMIF1_A7,,ESC_LATCH1,GPIO51,SD2_D3,FSITXA_CLK,
N15,GPIO52,,GPIO52,EQEP1_STROBE,EMIF1_A12,EPWM16_A,GPIO52,,SPIC_CLK,SD1_D3,GPIO52,EMIF1_A8,,ESC_MDIO_CLK,GPIO52,SD2_D4,FSIRXA_D0,
N16,GPIO53,,GPIO53,EQEP1_INDEX,EMIF1_D31,,GPIO53,,SPIC_PTE,SD1_C3,GPIO53,EMIF1_A9,,ESC_MDIO_DATA,GPIO53,SD1_C1,FSIRXA_D1,
M13,GPIO54,,GPIO54,SPIA_PICO,EMIF1_D30,,GPIO54,EQEP2_A,SCIB_TX,SD1_D4,GPIO54,EMIF1_A10,,ESC_PHY_CLK,GPIO54,SD1_C2,FSIRXA_CLK,
M14,GPIO55,,GPIO55,SPIA_POCI,EMIF1_D29,EPWM16_B,GPIO55,EQEP2_B,SCIB_RX,SD1_C4,GPIO55,EMIF1_D0,,ESC_PHY0_LINKSTATUS,GPIO55,SD1_C3,FSITXB_D0,
M15,GPIO56,,GPIO56,SPIA_CLK,EMIF1_D28,EPWM17_A,GPIO56,EQEP2_STROBE,,SD2_D1,GPIO56,EMIF1_D1,I2CA_SDA,ESC_TX0_ENA,GPIO56,SD1_C4,FSITXB_CLK,
M16,GPIO57,,GPIO57,SPIA_PTE,EMIF1_D27,EPWM17_B,GPIO57,EQEP2_INDEX,,SD2_C1,GPIO57,EMIF1_D2,I2CA_SCL,ESC_TX0_CLK,GPIO57,SD3_D3,FSITXB_D1,
C16,GPIO68,,GPIO68,,EMIF1_D16,EPWM17_B,GPIO68,LINB_RX,,,GPIO68,,,ESC_I2C_SCL,GPIO68,SD1_C3,ESC_PHY1_LINKSTATUS,
C14,GPIO74,,GPIO74,EPWM8_A,EMIF1_D10,,GPIO74,,EQEP5_A,,GPIO74,MCANA_TX,SD1_D4,,GPIO74,SD2_C2,ESC_TX1_DATA1,
